iter	Passed	Remaining
535	16827	14567
536	16854	14531
537	16888	14502
538	16914	14466
539	16951	14439
540	16984	14410
541	17012	14376
542	17045	14346
543	17073	14311
544	17100	14276
545	17126	14240
546	17152	14205
547	17178	14169
548	17213	14140
549	17247	14111
550	17272	14074
551	17297	14038
552	17328	14007
553	17362	13977
554	17397	13949
555	17434	13922
556	17465	13890
557	17492	13855
558	17517	13819
559	17551	13790
560	17578	13755
561	17604	13720
562	17630	13684
563	17665	13656
564	17693	13622
565	17720	13588
566	17752	13556
567	17778	13521
568	17804	13486
569	17837	13456
570	17863	13420
571	17888	13384
572	17923	13356
573	17959	13329
574	17990	13297
575	18016	13262
576	18044	13228
577	18071	13194
578	18098	13159
579	18123	13124
580	18149	13088
581	18174	13053
582	18209	13024
583	18245	12996
584	18281	12968
585	18306	12933
586	18341	12904
587	18368	12870
588	18404	12842
589	18430	12807
590	18461	12776
591	18487	12741
592	18521	12711
593	18546	12676
594	18571	12641
595	18597	12606
596	18622	12571
597	18657	12542
598	18688	12510
599	18714	12476
600	18740	12442
601	18766	12406
602	18791	12372
603	18820	12338
604	18848	12306
605	18877	12273
606	18913	12245
607	18943	12213
608	18978	12184
609	19005	12151
610	19041	12123
611	19072	12091
612	19108	12063
613	19142	12034
614	19171	12001
615	19196	11966
616	19223	11932
617	19259	11904
618	19286	11871
619	19314	11837
620	19341	11804
621	19375	11774
622	19403	11741
623	19434	11710
624	19467	11680
625	19493	11646
626	19526	11616
627	19553	11582
628	19579	11548
629	19604	11513
630	19639	11485
631	19667	11452
632	19702	11423
633	19738	11394
634	19764	11360
635	19801	11332
636	19827	11299
637	19861	11269
638	19887	11235
639	19912	11200
640	19939	11167
641	19963	11132
642	19991	11099
643	20024	11069
644	20053	11036
645	20086	11007
646	20118	10976
647	20152	10947
648	20185	10916
649	20218	10886
650	20244	10853
651	20276	10822
652	20304	10789
653	20329	10755
654	20356	10722
655	20381	10687
656	20414	10657
657	20440	10623
658	20475	10595
659	20504	10563
660	20533	10530
661	20561	10498
662	20589	10465
663	20619	10433
664	20655	10405
665	20685	10373
666	20717	10343
667	20743	10309
668	20775	10278
669	20803	10246
670	20829	10213
671	20858	10180
672	20893	10151
673	20920	10118
674	20954	10089
675	20987	10059
676	21015	10026
677	21041	9993
678	21075	9963
679	21104	9931
680	21130	9897
681	21155	9864
682	21188	9834
683	21218	9802
684	21242	9768
685	21267	9734
686	21297	9703
687	21323	9669
688	21347	9635
689	21380	9605
690	21416	9577
691	21443	9544
692	21473	9512
693	21508	9483
694	21542	9454
695	21572	9422
696	21597	9388
697	21631	9358
698	21664	9328
699	21690	9295
700	21715	9262
701	21744	9230
702	21777	9200
703	21810	9170
704	21835	9136
705	21861	9103
706	21894	9073
707	21924	9042
708	21953	9010
709	21979	8977
710	22011	8946
711	22039	8915
712	22068	8883
713	22098	8851
714	22125	8819
715	22153	8787
716	22186	8756
717	22215	8725
718	22240	8691
719	22265	8658
720	22292	8626
721	22325	8596
722	22359	8566
723	22387	8534
724	22412	8501
725	22439	8468
726	22466	8436
727	22496	8405
728	22522	8372
729	22559	8343
730	22593	8314
731	22624	8283
732	22654	8252
733	22679	8218
734	22705	8186
735	22730	8153
736	22761	8122
737	22787	8089
738	22815	8057
739	22849	8028
740	22874	7995
741	22910	7966
742	22942	7935
743	22975	7905
744	23002	7873
745	23036	7843
746	23062	7810
747	23093	7780
748	23120	7748
749	23149	7716
750	23178	7684
751	23204	7652
752	23231	7620
753	23265	7590
754	23294	7559
755	23321	7527
756	23354	7496
757	23388	7466
758	23417	7435
759	23443	7403
760	23481	7374
761	23514	7344
762	23545	7313
763	23579	7283
764	23613	7253
765	23645	7223
766	23673	7191
767	23702	7160
768	23729	7128
769	23761	7097
770	23792	7066
771	23818	7034
772	23843	7001
773	23868	6969
774	23894	6936
775	23929	6907
776	23965	6878
777	24000	6848
778	24028	6816
779	24054	6784
780	24082	6752
781	24108	6720
782	24138	6689
783	24166	6658
784	24195	6626
785	24229	6596
786	24259	6565
787	24293	6535
788	24326	6505
789	24358	6475
790	24384	6443
791	24414	6411
792	24439	6379
793	24468	6348
794	24499	6317
795	24533	6287
796	24567	6257
797	24600	6227
798	24633	6196
799	24665	6166
800	24697	6135
801	24731	6105
802	24762	6075
803	24792	6043
804	24819	6012
805	24851	5981
806	24878	5949
807	24913	5920
808	24938	5887
809	24973	5858
810	25003	5826
811	25037	5796
812	25069	5766
813	25100	5735
814	25133	5705
815	25167	5675
816	25199	5644
817	25225	5612
818	25259	5582
819	25292	5552
820	25321	5520
821	25358	5491
822	25385	5459
823	25411	5427
824	25444	5397
825	25472	5365
826	25498	5334
827	25523	5301
828	25554	5271
829	25584	5240
830	25615	5209
831	25645	5178
832	25680	5148
833	25717	5118
834	25751	5088
835	25783	5058
836	25809	5026
837	25834	4994
838	25868	4964
839	25898	4933
840	25927	4901
841	25960	4871
842	25990	4840
843	26015	4808
844	26047	4778
845	26074	4746
846	26110	4716
847	26135	4684
848	26162	4653
849	26195	4622
850	26224	4591
851	26259	4561
852	26294	4531
853	26329	4501
854	26360	4470
855	26389	4439
856	26422	4408
857	26448	4377
858	26478	4346
859	26512	4316
860	26545	4285
861	26574	4254
862	26599	4222
863	26631	4192
864	26657	4160
865	26689	4129
866	26717	4098
867	26744	4067
868	26778	4036
869	26804	4005
870	26838	3974
871	26868	3944
872	26897	3912
873	26928	3882
874	26962	3851
875	26990	3820
876	27021	3789
877	27048	3758
878	27083	3728
879	27117	3697
880	27149	3667
881	27182	3636
882	27213	3605
883	27239	3574
884	27270	3543
885	27298	3512
886	27330	3481
887	27358	3450
888	27393	3420
889	27422	3389
890	27454	3358
891	27484	3327
892	27519	3297
893	27554	3267
894	27579	3235
895	27614	3205
896	27643	3174
897	27670	3142
898	27703	3112
899	27739	3082
900	27770	3051
901	27797	3020
902	27832	2989
903	27868	2959
904	27901	2928
905	27931	2898
906	27963	2867
907	27993	2836
908	28023	2805
909	28057	2774
910	28082	2743
911	28114	2712
912	28143	2681
913	28173	2650
914	28200	2619
915	28231	2588
916	28263	2558
917	28291	2527
918	28326	2496
919	28355	2465
920	28388	2435
921	28422	2404
922	28453	2373
923	28488	2343
924	28519	2312
925	28548	2281
926	28583	2250
927	28610	2219
928	28638	2188
929	28672	2158
930	28699	2127
931	28725	2095
932	28760	2065
933	28794	2034
934	28820	2003
935	28854	1972
936	28880	1941
937	28911	1910
938	28936	1879
939	28968	1849
940	28993	1817
941	29026	1787
942	29057	1756
943	29083	1725
944	29115	1694
945	29141	1663
946	29168	1632
947	29193	1601
948	29222	1570
949	29250	1539
950	29281	1508
951	29316	1478
952	29348	1447
953	29381	1416
954	29406	1385
955	29443	1355
956	29477	1324
957	29509	1293
958	29541	1262
959	29568	1232
960	29599	1201
961	29630	1170
962	29660	1139
963	29692	1108
964	29720	1077
965	29753	1047
966	29788	1016
967	29822	985
968	29848	954
969	29874	923
970	29903	893
971	29937	862
972	29964	831
973	29996	800
974	30029	769
975	30063	739
976	30101	708
977	30132	677
978	30168	647
979	30195	616
980	30221	585
981	30254	554
982	30279	523
983	30311	492
984	30336	461
985	30373	431
986	30408	400
987	30441	369
988	30474	338
989	30500	308
990	30531	277
991	30564	246
992	30589	215
993	30617	184
994	30646	154
995	30675	123
996	30702	92
997	30727	61
998	30755	30
999	30795	0
